Time_s,Temperature_C
0,80
25,65
50,53.75
75,45.3125
100,38.984375
125,34.23828125
150,30.6787109375
175,28.009033203125
200,26.0067749023438
225,24.5050811767578
250,23.3788108825684
275,22.5341081619263
300,21.9005811214447
