Time_s,EulerTemperature_C
0,80
10,74
20,68.6
30,63.74
40,59.366
50,55.4294
60,51.88646
70,48.697814
80,45.8280326
90,43.24522934
100,40.920706406
110,38.8286357654
120,36.94577218886
130,35.251194969974
140,33.7260754729766
150,32.3534679256789
160,31.118121133111
170,30.0063090197999
180,29.0056781178199
190,28.105110306038
200,27.2945992754342
