Time_s,ExactTemperature_C
0,80
0.5,79.7007487515609
1,79.4029900249501
1.5,79.1067163761838
2,78.8119203984053
2.5,78.5185947217
3,78.2267320129105
3.5,77.936324975454
4,77.6473663491394
4.5,77.359848909986
5,77.0737654700428
5.5,76.789108877209
6,76.5058720150549
6.5,76.2240478026442
7,75.9436291943569
7.5,75.6646091797132
8,75.3869807831981
8.5,75.1107370640874
9,74.8358711162737
9.5,74.5623760680939
10,74.2902450821576
10.5,74.0194713551759
11,73.7500481177917
11.5,73.4819686344099
12,73.2152262030294
12.5,72.9498141550757
13,72.6857258552337
13.5,72.4229547012821
14,72.1614941239283
14.5,71.9013375866445
15,71.6424785855035
15.5,71.3849106490168
16,71.1286273379727
16.5,70.8736222452749
17,70.619888995783
17.5,70.3674212461524
18,70.1162126846763
18.5,69.8662570311275
19,69.6175480366017
19.5,69.3700794833611
20,69.1238451846789
20.5,68.8788389846849
21,68.6350547582112
21.5,68.3924864106396
22,68.1511278777487
22.5,67.9109731255626
23,67.6720161502001
23.5,67.4342509777241
24,67.1976716639932
24.5,66.9622722945121
25,66.7280469842843
25.5,66.4949898776649
26,66.263095148214
26.5,66.0323569985513
27,65.8027696602112
27.5,65.5743273934981
28,65.3470244873435
28.5,65.120855259163
29,64.8958140547139
29.5,64.6718952479546
30,64.4490932409031
30.5,64.2274024634977
31,64.0068173734574
31.5,63.7873324561434
32,63.5689422244215
32.5,63.3516412185243
33,63.1354240059156
33.5,62.9202851811536
34,62.7062193657566
34.5,62.493221208068
35,62.2812853831228
35.5,62.0704065925143
36,61.8605795642619
36.5,61.6517990526787
37,61.4440598382413
37.5,61.2373567274583
38,61.0316845527414
38.5,60.8270381722753
39,60.6234124698899
39.5,60.4208023549321
40,60.2192027621384
40.5,60.0186086515085
41,59.8190150081792
41.5,59.620416842299
42,59.4228091889034
42.5,59.2261871077908
43,59.030545683399
43.5,58.8358800246821
44,58.6421852649885
44.5,58.4494565619391
45,58.2576890973064
45.5,58.0668780768937
46,57.8770187304156
46.5,57.6881063113784
47,57.500136096962
47.5,57.3131033879012
48,57.1270035083685
48.5,56.9418318058571
49,56.757583651065
49.5,56.5742544377786
50,56.391839582758
50.5,56.2103345256224
51,56.029734728736
51.5,55.8500356770942
52,55.6712328782117
52.5,55.4933218620089
53,55.3162981807013
53.5,55.1401574086876
54,54.9648951424394
54.5,54.7905070003908
55,54.6169886228292
55.5,54.4443356717862
56,54.2725438309289
56.5,54.1016088054524
57,53.9315263219722
57.5,53.7622921284173
58,53.5939019939241
58.5,53.4263517087304
59,53.2596370840704
59.5,53.0937539520698
60,52.9286981656416
60.5,52.7644655983826
61,52.60105214447
61.5,52.438453718559
62,52.2766662556805
62.5,52.1156857111394
63,51.9555080604138
63.5,51.7961292990541
64,51.6375454425829
64.5,51.4797525263956
65,51.322746605661
65.5,51.1665237552229
66,51.011080069502
66.5,50.8564116623979
67,50.7025146671925
67.5,50.5493852364529
68,50.3970195419354
68.5,50.2454137744895
69,50.0945641439633
69.5,49.9444668791082
70,49.7951182274846
70.5,49.6465144553685
71,49.4986518476579
71.5,49.3515267077799
72,49.2051353575983
72.5,49.0594741373217
73,48.9145394054121
73.5,48.7703275384936
74,48.6268349312621
74.5,48.4840579963947
75,48.3419931644609
75.5,48.2006368838323
76,48.0599856205946
76.5,47.9200358584588
77,47.7807840986737
77.5,47.6422268599379
78,47.5043606783134
78.5,47.3671821071383
79,47.2306877169413
79.5,47.0948740953555
80,46.9597378470333
80.5,46.8252755935614
81,46.6914839733765
81.5,46.5583596416811
82,46.42589927036
82.5,46.294099547897
83,46.1629571792921
83.5,46.0324688859795
84,45.9026314057448
84.5,45.7734414926444
85,45.6448959169236
85.5,45.5169914649365
86,45.3897249390649
86.5,45.2630931576393
87,45.1370929548583
87.5,45.0117211807105
88,44.8869747008949
88.5,44.762850396743
89,44.6393451651407
89.5,44.5164559184509
90,44.3941795844359
90.5,44.2725131061811
91,44.1514534420182
91.5,44.0309975654491
92,43.9111424650709
92.5,43.7918851444996
93,43.6732226222961
93.5,43.5551519318911
94,43.4376701215113
94.5,43.3207742541052
95,43.2044614072701
95.5,43.0887286731787
96,42.9735731585067
96.5,42.8589919843602
97,42.7449822862039
97.5,42.6315412137894
98,42.518665931084
98.5,42.4063536161997
99,42.2946014613227
99.5,42.1834066726435
100,42.0727664702865
100.5,41.9626780882409
101,41.8531387742914
101.5,41.7441457899494
102,41.6356964103847
102.5,41.5277879243571
103,41.4204176341488
103.5,41.3135828554971
104,41.2072809175268
104.5,41.101509162684
105,40.9962649466693
105.5,40.8915456383719
106,40.7873486198034
106.5,40.6836712860332
107,40.5805110451224
107.5,40.4778653180596
108,40.3757315386963
108.5,40.2741071536828
109,40.172989622404
109.5,40.0723764169165
110,39.9722650218848
110.5,39.8726529345189
111,39.7735376645113
111.5,39.6749167339753
112,39.5767876773824
112.5,39.479148041501
113,39.3819953853352
113.5,39.2853272800635
114,39.1891413089782
114.5,39.0934350674251
115,38.9982061627432
115.5,38.9034522142048
116,38.8091708529563
116.5,38.7153597219588
117,38.6220164759291
117.5,38.5291387812812
118,38.4367243160679
118.5,38.3447707699227
119,38.2532758440022
119.5,38.1622372509286
120,38.0716527147321
120.5,37.9815199707948
121,37.8918367657932
121.5,37.8026008576427
122,37.7138100154409
122.5,37.625462019412
123,37.5375546608516
123.5,37.4500857420711
124,37.363053076343
124.5,37.2764544878462
125,37.1902878116114
125.5,37.1045508934672
126,37.0192415899862
126.5,36.9343577684314
127,36.8498973067028
127.5,36.7658580932844
128,36.6822380271916
128.5,36.5990350179184
129,36.5162469853851
129.5,36.4338718598867
130,36.3519075820408
130.5,36.270352102736
131,36.1892033830812
131.5,36.1084593943542
132,36.028118117951
132.5,35.9481775453356
133,35.8686356779894
133.5,35.7894905273617
134,35.7107401148196
134.5,35.6323824715985
135,35.5544156387535
135.5,35.4768376671095
136,35.3996466172133
136.5,35.3228405592847
137,35.246417573168
137.5,35.1703757482848
138,35.0947131835854
138.5,35.0194279875018
139,34.9445182779001
139.5,34.8699821820337
140,34.7958178364964
140.5,34.7220233871756
141,34.6485969892062
141.5,34.5755368069245
142,34.5028410138222
142.5,34.4305077925005
143,34.3585353346253
143.5,34.2869218408812
144,34.2156655209273
144.5,34.1447645933518
145,34.0742172856279
145.5,34.0040218340691
146,33.9341764837855
146.5,33.8646794886398
147,33.7955291112034
147.5,33.7267236227133
148,33.6582613030288
148.5,33.5901404405881
149,33.5223593323663
149.5,33.4549162838321
150,33.3878096089058
150.5,33.321037629917
151,33.2545986775627
151.5,33.1884910908657
152,33.1227132171329
152.5,33.057263411914
153,32.9921400389604
153.5,32.9273414701845
154,32.8628660856187
154.5,32.7987122733749
155,32.7348784296046
155.5,32.6713629584583
156,32.6081642720459
156.5,32.545280790397
157,32.4827109414212
157.5,32.4204531608692
158,32.358505892293
158.5,32.2968675870078
159,32.2355367040528
159.5,32.1745117101526
160,32.1137910796793
160.5,32.0533732946139
161,31.9932568445087
161.5,31.9334402264492
162,31.8739219450169
162.5,31.8147005122516
163,31.7557744476146
163.5,31.697142277951
164,31.6388025374535
164.5,31.5807537676257
165,31.5229945172452
165.5,31.4655233423279
166,31.4083388060912
166.5,31.3514394789189
167,31.2948239383248
167.5,31.2384907689174
168,31.1824385623646
168.5,31.1266659173583
169,31.0711714395794
169.5,31.0159537416631
170,30.9610114431641
170.5,30.906343170522
171,30.8519475570273
171.5,30.7978232427867
172,30.7439688746896
172.5,30.6903831063739
173,30.6370645981927
173.5,30.5840120171804
174,30.5312240370198
174.5,30.4786993380087
175,30.4264366070267
175.5,30.374434537503
176,30.322691829383
176.5,30.2712071890965
177,30.2199793295246
177.5,30.1690069699682
178,30.1182888361157
178.5,30.0678236600112
179,30.0176101800224
179.5,29.96764714081
180,29.9179332932952
180.5,29.8684673946293
181,29.8192482081622
181.5,29.7702745034118
182,29.7215450560328
182.5,29.6730586477866
183,29.6248140665104
183.5,29.5768101060871
184,29.5290455664152
184.5,29.4815192533789
185,29.4342299788177
185.5,29.3871765604973
186,29.3403578220798
186.5,29.2937725930944
187,29.2474197089079
187.5,29.2012980106957
188,29.155406345413
188.5,29.1097435657658
189,29.0643085301823
189.5,29.019100102784
190,28.9741171533581
190.5,28.9293585573284
191,28.8848231957277
191.5,28.8405099551697
192,28.796417727821
192.5,28.7525454113736
193,28.7088919090174
193.5,28.6654561294125
194,28.6222369866622
194.5,28.5792334002856
195,28.5364442951908
195.5,28.493868601648
196,28.4515052552627
196.5,28.4093531969489
197,28.3674113729031
197.5,28.3256787345773
198,28.2841542386536
198.5,28.2428368470173
199,28.2017255267314
199.5,28.1608192500109
200,28.1201169941968
