Angle_deg,BaselineRange_m,VariantRange_m
20,21.2296825217573,26.209484594762
35,31.0357195855896,38.315703192086
45,33.0275229357798,40.7747196738022
55,31.0357195855896,38.315703192086
70,21.2296825217573,26.209484594762
