Trials,MeanFinalPosition_mm,SpreadFinalPosition_mm,StandardErrorMean_mm
100,0.04,10.6319518433823,1.06319518433823
1000,0.066,9.81221911699897,0.310289613103629
10000,-0.128,9.94229430262456,0.0994229430262456
