normalised_time,height_v0_20_mps,height_v0_15_mps
0,0,0
0.01,0.807339449541284,0.454128440366972
0.02,1.59836901121305,0.899082568807339
0.03,2.37308868501529,1.3348623853211
0.04,3.13149847094801,1.76146788990826
0.05,3.87359836901121,2.17889908256881
0.06,4.59938837920489,2.58715596330275
0.07,5.30886850152905,2.98623853211009
0.08,6.00203873598369,3.37614678899083
0.09,6.67889908256881,3.75688073394495
0.1,7.3394495412844,4.12844036697248
0.11,7.98369011213048,4.49082568807339
0.12,8.61162079510703,4.84403669724771
0.13,9.22324159021407,5.18807339449541
0.14,9.81855249745158,5.52293577981651
0.15,10.3975535168196,5.84862385321101
0.16,10.960244648318,6.1651376146789
0.17,11.506625891947,6.47247706422018
0.18,12.0366972477064,6.77064220183486
0.19,12.5504587155963,7.05963302752294
0.2,13.0479102956167,7.3394495412844
0.21,13.5290519877676,7.61009174311927
0.22,13.9938837920489,7.87155963302752
0.23,14.4424057084608,8.12385321100918
0.24,14.8746177370031,8.36697247706422
0.25,15.2905198776758,8.60091743119266
0.26,15.6901121304791,8.8256880733945
0.27,16.0733944954128,9.04128440366972
0.28,16.4403669724771,9.24770642201835
0.29,16.7910295616718,9.44495412844037
0.3,17.1253822629969,9.63302752293578
0.31,17.4434250764526,9.81192660550459
0.32,17.7451580020387,9.98165137614679
0.33,18.0305810397554,10.1422018348624
0.34,18.2996941896024,10.2935779816514
0.35,18.55249745158,10.4357798165138
0.36,18.7889908256881,10.5688073394495
0.37,19.0091743119266,10.6926605504587
0.38,19.2130479102956,10.8073394495413
0.39,19.4006116207951,10.9128440366972
0.4,19.5718654434251,11.0091743119266
0.41,19.7268093781855,11.0963302752294
0.42,19.8654434250764,11.1743119266055
0.43,19.9877675840979,11.243119266055
0.44,20.0937818552497,11.302752293578
0.45,20.1834862385321,11.3532110091743
0.46,20.2568807339449,11.394495412844
0.47,20.3139653414883,11.4266055045872
0.48,20.3547400611621,11.4495412844037
0.49,20.3792048929664,11.4633027522936
0.5,20.3873598369011,11.4678899082569
0.51,20.3792048929664,11.4633027522936
0.52,20.3547400611621,11.4495412844037
0.53,20.3139653414883,11.4266055045872
0.54,20.256880733945,11.394495412844
0.55,20.1834862385321,11.3532110091743
0.56,20.0937818552497,11.302752293578
0.57,19.9877675840979,11.243119266055
0.58,19.8654434250765,11.1743119266055
0.59,19.7268093781855,11.0963302752294
0.6,19.5718654434251,11.0091743119266
0.61,19.4006116207951,10.9128440366972
0.62,19.2130479102956,10.8073394495413
0.63,19.0091743119266,10.6926605504587
0.64,18.7889908256881,10.5688073394495
0.65,18.55249745158,10.4357798165138
0.66,18.2996941896024,10.2935779816514
0.67,18.0305810397554,10.1422018348624
0.68,17.7451580020387,9.98165137614678
0.69,17.4434250764526,9.81192660550458
0.7,17.1253822629969,9.63302752293578
0.71,16.7910295616718,9.44495412844037
0.72,16.4403669724771,9.24770642201835
0.73,16.0733944954128,9.04128440366972
0.74,15.6901121304791,8.82568807339449
0.75,15.2905198776758,8.60091743119266
0.76,14.874617737003,8.36697247706422
0.77,14.4424057084608,8.12385321100917
0.78,13.9938837920489,7.87155963302752
0.79,13.5290519877676,7.61009174311926
0.8,13.0479102956167,7.3394495412844
0.81,12.5504587155963,7.05963302752293
0.82,12.0366972477064,6.77064220183486
0.83,11.506625891947,6.47247706422019
0.84,10.960244648318,6.1651376146789
0.85,10.3975535168196,5.848623853211
0.86,9.81855249745158,5.52293577981651
0.87,9.22324159021407,5.18807339449541
0.88,8.61162079510704,4.84403669724771
0.89,7.98369011213047,4.49082568807339
0.9,7.33944954128441,4.12844036697247
0.91,6.6788990825688,3.75688073394496
0.92,6.00203873598367,3.37614678899082
0.93,5.30886850152903,2.98623853211009
0.94,4.5993883792049,2.58715596330275
0.95,3.87359836901122,2.17889908256881
0.96,3.13149847094803,1.76146788990827
0.97,2.3730886850153,1.3348623853211
0.98,1.59836901121304,0.899082568807337
0.99,0.807339449541288,0.454128440366965
1,0,-7.105427357601e-15
